0.000000000000000000e+00 8.614379261950369515e-02
1.000000000000000000e+00 5.758913522381104322e+00
2.000000000000000000e+00 1.163116169806486866e+01
3.000000000000000000e+00 1.773992355521033915e+01
4.000000000000000000e+00 2.410438085698785571e+01
5.000000000000000000e+00 3.069656747697435151e+01
6.000000000000000000e+00 3.762504989118768606e+01
7.000000000000000000e+00 4.535898240384501179e+01
8.000000000000000000e+00 5.466745684789371751e+01
9.000000000000000000e+00 6.659365370743834944e+01
9.500000000000000000e+00 7.562544186567039617e+01
9.810000000000000497e+00 8.827300050582265101e+01
